Occupation Title,ESCO Code,Description,Alternative Labels,Essential Skills (Skill),Essential Skills (Knowledge),Optional Skills (Skill),Optional Skills (Knowledge),
ICT help desk manager,3512.2,ICT help desk managers monitor the delivery of technical support services to clients according to the predefined deadlines.  They plan and organise the user support actions and troubleshoot ICT problems and issues. ICT help desk managers supervise the help desk team ensuring that the customers get the appropriate feedback and support. They also participate in developing customer service guidelines and in reinforcing the team.,"ICT help desk managers, IT helpdesk manager, ICT service desk manager, software support manager, ICT helpdesk manager, IT help desk manager, ICT helpdesk managers, technical support manager","keep up to date on product knowledge, manage staff, communicate with customers, use ICT ticketing system, supervise data entry, secure sensitive customer's information, forecast workload, create solutions to problems, educate on data confidentiality, analyse staff capacity, provide ICT support","characteristics of services, product comprehension, organisational structure, characteristics of products","use customer relationship management software, provide customer follow-up services, perform project management, coach employees, train employees, manage schedule of tasks, prioritise requests","call quality assurance management, ICT market, ICT process quality models, ICT help platforms, ICT quality policy",
ICT technician,3512.4,"ICT technicians install, maintain, repair and operate information systems and any ICT related equipment (laptops, desktops, servers, tablets, smart phones, communications equipment, printers and any piece of computer related peripheral networks), and any type of software (drivers, operating systems, applications).","ICT technicians, IT engineer, computer operator, IT technician, ICT engineer","repair ICT devices, use repair manuals, manage email hosting service, define firewall rules, implement ICT recovery system, operate private branch exchange, maintain ICT system, use precision tools, administer ICT system, perform ICT troubleshooting, maintain ICT server, keep up to date on product knowledge, perform backups","ICT network cable limitations, distributed directory information services, ICT networking hardware, procurement of ICT network equipment, ICT network routing","use access control software, create solutions to problems, manage ICT legacy implication, configure ICT system, provide technical documentation, manage schedule of tasks, use different communication channels","COBOL, Visual Studio .NET, Java (computer programming), Scala, AJAX, Assembly (computer programming), ABAP, Hybrid model, ICT system user requirements, TypeScript, Open source model, Objective-C, ML (computer programming), Smalltalk (computer programming), Microsoft Visual C++, SAP R3, ICT encryption, ICT system programming, OpenEdge Advanced Business Language, ICT communications protocols, SAS language, systems thinking, CoffeeScript, Ruby (computer programming), Groovy, JavaScript, Erlang, Swift (computer programming), C#, Lisp, service-oriented modelling, Perl, SaaS (service-oriented modelling), Scratch (computer programming), ICT debugging tools, Haskell, Common Lisp, Python (computer programming), Pascal (computer programming), MATLAB, ASP.NET, Prolog (computer programming), R, C++, PHP, computer programming, APL, VBScript, ICT market, Cisco, Outsourcing model",
ICT network technician,3513.2,"ICT network technicians install, maintain and troubleshoot networks, data communications equipment and network installed devices such as printers and storage area networks. They also analyse and fix network-related problems reported by users.","network technician, network engineer, network maintenance professional, networks technician, network technicians, IT network technician, assistant network administrator, system engineer","adjust ICT system capacity, provide technical documentation, analyse network bandwidth requirements, maintain internet protocol configuration, use precision tools, implement ICT network diagnostic tools, identify suppliers, install signal repeaters, create solutions to problems, install electronic communication equipment","ICT network cable limitations, ICT networking hardware, ICT network routing, ICT network security risks","solder electronics, perform security vulnerability assessments, migrate existing data","concepts of telecommunications, ICT system programming, ICT debugging tools, ICT communications protocols, network management system tools, Cisco, procurement of ICT network equipment, ICT security legislation, electronics principles",
data centre operator,3511.1,"Data centre operators maintain computer operations within the data centre. They manage daily activities within the centre to solve problems, maintain the system availability, and evaluate the system's performance.","data center administrator, data centre operators, data centre employee","maintain ICT server, maintain database security, maintain database performance, administer ICT system, keep up with the latest information systems solutions, provide technical documentation, develop contingency plans for emergencies, manage database, analyse ICT system, migrate existing data, monitor system performance, balance database resources","database management systems, resource description framework query language, query languages","use different communication channels, create solutions to problems, control of expenses, develop automated migration methods, integrate system components, use ICT ticketing system","ObjectStore, DB2, OpenEdge Database, data storage, business ICT systems, PostgreSQL, SPARQL, SQL Server, database development tools, Teradata Database, World Wide Web Consortium standards, Filemaker (database management systems), Microsoft Access, MDX, data models, LINQ, MySQL, CA Datacom/DB, information confidentiality, IBM Informix, unstructured data, XQuery, N1QL, LDAP",
ICT security technician,3512.3,"ICT security technicians propose and implement necessary security updates and measures whenever is required. They advise, support, inform and provide training and security awareness.","ICT security technicians, IT security officer, IT security technician, ICT security officer","integrate system components, execute software tests, manage alarm system, use access control software, solve ICT system problems, manage closed-circuit television system, provide technical documentation, estimate duration of work, ensure proper document management, identify ICT system weaknesses, address problems critically, analyse ICT system","web application security threats, procurement of ICT network equipment, ICT networking hardware","execute ICT audits, comply with legal regulations, manage IT security compliances, install low voltage wiring","Groovy, R, organisational resilience, MATLAB, Ruby (computer programming), Scratch (computer programming), ASP.NET, TypeScript, Assembly (computer programming), C#, Prolog (computer programming), Haskell, C++, PHP, Erlang, computer programming, ICT security legislation, Smalltalk (computer programming), APL, ICT network security risks, AJAX, ICT encryption, Visual Studio .NET, Pascal (computer programming), Perl, Scala, SAP R3, SAS language, VBScript, COBOL, Microsoft Visual C++, CoffeeScript, cyber security, ML (computer programming), Cisco, Swift (computer programming), Java (computer programming), Common Lisp, Python (computer programming), ABAP, OpenEdge Advanced Business Language, JavaScript, Objective-C, Lisp, Internet of Things",
ICT help desk agent,3512.1,"ICT help desk agents provide technical assistance to computer users, answer questions or solve computer problems for clients via telephone or electronically. They provide assistance concerning the use of computer hardware and software.","IT help desk advisor, ICT service desk agent, ICT help desk advisor, IT help desk agent, ICT help desk agents, ICT helpdesk agents, ICT helpdesk agent","guarantee customer satisfaction, assist customers, provide customer follow-up services, communicate with customers, keep task records, identify customer's needs, use customer relationship management software, create solutions to problems, manage schedule of tasks, support ICT system users, provide ICT support, solve ICT system problems, prioritise requests, use ICT ticketing system, keep up to date on product knowledge","characteristics of services, product comprehension, ICT system user requirements, characteristics of products","handle helpdesk problems, educate on data confidentiality, perform escalation procedure, answer incoming calls, perform data analysis","ICT help platforms, information confidentiality, ICT infrastructure",
telecommunications engineering technician,3522.1,"Telecommunications engineering technician deploy, maintain and monitor a telecommunication system that provides interactions between data and voice communications, such as telephone, video conferencing, computer, and voicemail systems. They are also involved in the design, manufacturing, construction, maintenance and repair of telecommunication systems. Telecommunications engineering technicians provide technical assistance in the research and development of telecommunication equipment.","telecommunications administrator, telecommunication administrator, telecommunications administrators, telecom administrator, communication administrator, communications administrator, telecoms administrator","operate electronic measuring instruments, use scripting programming, upgrade firmware, manage changes in ICT system, integrate system components, interpret technical texts, apply ICT system usage policies, use session border controller, manage system security, install monitors for process control, calibrate electronic instruments, support ICT system users, manage system testing, apply system organisational policies","electronics principles, ICT system user requirements, ICT communications protocols, quality assurance methodologies, analog electronics theory, organisational policies, microwave principles, direct inward dialing, electromagnetism","execute ICT audits, solder electronics, operate private branch exchange, provide cost benefit analysis reports, solve ICT system problems, provide technical documentation, meet deadlines, maintain telephony system","Perl, Common Lisp, Java (computer programming), SAS language, R, ASP.NET, Pascal (computer programming), C#, TypeScript, Objective-C, Cisco, Groovy, Prolog (computer programming), COBOL, Microsoft Visual C++, OpenEdge Advanced Business Language, Visual Studio .NET, VBScript, procurement of ICT network equipment, ABAP, CoffeeScript, MATLAB, SAP R3, C++, Smalltalk (computer programming), Swift (computer programming), computer programming, Scratch (computer programming), ML (computer programming), APL, ICT system programming, Scala, Haskell, telecommunication trunking, Erlang, Ruby (computer programming), Python (computer programming), JavaScript, Lisp, PHP, Assembly (computer programming), AJAX",
webmaster,3514.1,"Webmasters deploy, maintain, monitor and support a web server to meet service requirements. They ensure optimum system integrity, security, backup and performance. They coordinate the content, quality and style of websites, execute the website strategy and update and add new features to websites.","web technician, webmasters, e-commerce technician, web administrator, website administrator","study website behaviour patterns, maintain responsive design, implement front-end website design, troubleshoot website, apply tools for content development, maintain ICT server, use ICT ticketing system, use markup languages, use scripting programming, use software libraries, apply ICT system usage policies","style sheet languages, authoring software, proxy servers, graphics editor software, web programming, quality assurance methodologies","conduct search engine optimisation, manage online content, manage changes in ICT system, enhance website visibility","ICT performance analysis methods, online analytical processing, Erlang, VBScript, CoffeeScript, Synfig, Scala, ML (computer programming), Common Lisp, Microsoft Visio, ASP.NET, system backup best practice, TypeScript, SAS language, Smalltalk (computer programming), SketchBook Pro, ICT debugging tools, Objective-C, information security strategy, PHP, Lisp, MATLAB, Adobe Photoshop, APL, SAP R3, Ruby (computer programming), Assembly (computer programming), R, C++, CSS, Haskell, Groovy, Swift (computer programming), Scratch (computer programming), web analytics, cyber security, Prolog (computer programming), Sass, Pascal (computer programming), Microsoft Visual C++, Perl, World Wide Web Consortium standards, Adobe Illustrator, JSSS, LESS, AJAX, JavaScript, data models, Java (computer programming), GIMP (graphics editor software), COBOL, computer programming, Visual Studio .NET, ICT recovery techniques, C#, ABAP, Python (computer programming), OpenEdge Advanced Business Language",
ICT security administrator,2529.5,"ICT security administrators plan and carry out security measures to protect information and data from unauthorised access, deliberate attack, theft and corruption.","network security administrator, system security administrator, ICT security administrators, IT security administrator","apply company policies, identify ICT system weaknesses, manage IT security compliances, ensure proper document management, perform ICT troubleshooting, solve ICT system problems, attend to ICT systems quality, interpret technical texts, maintain ICT identity management, maintain database security","database development tools, Internet of Things, mobile device management, organisational resilience, quality assurance methodologies, system backup best practice, internet governance, cyber attack counter-measures, ICT network security risks","address problems critically, execute ICT audits, execute software tests, build business relationships, manage database, lead disaster recovery exercises, perform backups, train employees, assess ICT knowledge, use scripting programming, manage ICT virtualisation machines","web application security threats, ICT encryption, information confidentiality, cyber security, information security strategy, ICT security standards, ICT security legislation, ICT infrastructure, computer forensics",
software analyst,2512.1,"Software analysts elicit and prioritise user requirements, produce and document software specifications, test their application, and review them during software development. They act as the interface between the software users and the software development team.","application analyst, programming analyst, programmer analyst, software analysts, software requirement analyst, software requirements analyst, analyst of software","create data models, design information system, define software architecture, define technical requirements, execute feasibility study, create software design, manage ICT legacy implication, develop software prototype, identify ICT user needs, analyse business processes, develop documentation in accordance with legal requirements, translate requirement concepts into visual design, interact with users to gather requirements","software architecture models, ICT system user requirements, data models, legal requirements of ICT products, business requirements techniques, software design methodologies","analyse ICT system, create prototype of user experience solutions, manage system testing, ensure compliance with company regulations, monitor system performance, create project specifications, manage ICT project, ensure compliance with legal requirements, identify ICT system weaknesses, solve ICT system problems, provide ICT consulting advice","ABAP, Ruby (computer programming), computer programming, unified modelling language, SPARQL, Agile project management, object-oriented modelling, DevOps, R, Open source model, JavaScript, ML (computer programming), Hybrid model, LDAP, SAP R3, COBOL, query languages, Lisp, VBScript, Lean project management, Erlang, Waterfall development, ICT project management methodologies, Java (computer programming), N1QL, Iterative development, Prototyping development, PHP, ICT project management, Visual Studio .NET, Agile development, ASP.NET, resource description framework query language, Pascal (computer programming), service-oriented modelling, LINQ, Scala, Scratch (computer programming), Swift (computer programming), Perl, C++, Assembly (computer programming), Rapid application development, ICT problem management techniques, AJAX, CoffeeScript, SAS language, C#, Python (computer programming), MDX, levels of software testing, Common Lisp, MATLAB, Haskell, Incremental development, Smalltalk (computer programming), Prolog (computer programming), Objective-C, Process-based management, Groovy, TypeScript, XQuery, OpenEdge Advanced Business Language, Outsourcing model, Spiral development, SaaS (service-oriented modelling), APL",
